# sepalLength, sepalWidth, petalLength, petalWidth
6.315294397320305730e-01,7.324493007765230379e-01,2.403349268172966235e-01,8.323287508824125935e-02
5.458195097202789281e-01,4.139232584849776297e-01,5.196833862036063234e-01,5.105661338140693450e-01
5.552045510387076943e-01,4.791415275464047108e-01,5.146746188128820121e-01,4.441636408309661554e-01
6.146585427185869976e-01,4.851017720377829856e-01,4.902545981444058620e-01,3.827813679205571695e-01
5.713553789461298660e-01,4.559372911038125364e-01,5.297761920215683373e-01,4.301295199092571298e-01
6.105724574783027991e-01,3.886169085225421593e-01,5.077719926987925847e-01,4.672748399068643588e-01
5.639325001006088023e-01,5.147962903063197926e-01,4.596125469988875945e-01,4.535650134857443505e-01
5.795750650875869381e-01,5.112479076223375163e-01,4.774862533453906321e-01,4.180014339050557859e-01
6.127291536198832267e-01,5.027698585571728218e-01,4.709577354572692109e-01,3.872780203466530957e-01
5.795750650875869381e-01,5.112479076223375163e-01,4.774862533453906321e-01,4.180014339050557859e-01
6.229593247087948926e-01,7.456503428899999841e-01,2.125492286801158870e-01,1.036825505756662907e-01
5.191638997773845299e-01,4.585539633646946167e-01,5.056950250190089813e-01,5.142661271379752597e-01
5.633677295420279618e-01,3.773500829951319524e-01,5.580529396406881393e-01,4.783310911205898019e-01
5.939399229687746251e-01,4.930822002004922044e-01,4.769729805916692600e-01,4.202405115345103637e-01
5.351779690137004053e-01,5.147686396869067815e-01,4.928475081877580211e-01,4.535406517065257992e-01
6.170930520477433401e-01,7.537908800330028747e-01,2.118816333771523786e-01,7.811304456300548205e-02
5.589057560032090199e-01,4.298735613926814580e-01,4.978959683341008247e-01,5.049085876064121070e-01
5.366186905687787556e-01,4.445709589748642054e-01,4.915740559589907854e-01,5.222566331569623577e-01
5.586003932294700824e-01,3.905614659027403790e-01,5.069843404669933662e-01,5.276307615719840749e-01
5.578108942583313024e-01,4.263062533839578894e-01,5.859904601599827956e-01,4.046296642288413903e-01
5.089796560826757021e-01,4.009714905061855794e-01,5.110974632508421545e-01,5.647485781777261682e-01
5.098178480019358583e-01,4.309739249969853359e-01,5.068537907461106995e-01,5.453865350718384297e-01
7.079453034749209062e-01,6.494682748926339233e-01,2.339081143291478482e-01,1.493030516994560686e-01
5.939399229687746251e-01,4.930822002004922044e-01,4.769729805916692600e-01,4.202405115345103637e-01
5.191638997773845299e-01,4.585539633646946167e-01,5.056950250190089813e-01,5.142661271379752597e-01
5.480369407200642584e-01,5.105572107316099784e-01,4.705788320772588129e-01,4.664144176340972447e-01
5.273975252771143651e-01,4.672937005278743894e-01,5.257730975811889529e-01,4.764987908047850218e-01
5.318523198452567158e-01,4.397624576888634063e-01,5.411947696292386256e-01,4.804688460333561006e-01
6.090296521620556236e-01,4.895469956071019091e-01,4.804198482313762897e-01,3.982755218498456595e-01
5.761065861693440704e-01,3.914570393201953213e-01,5.441006647154915665e-01,4.677788520178434717e-01
5.904622271951317503e-01,4.208062045757024472e-01,5.260077557196279896e-01,4.445135963827842596e-01
6.097581654624079084e-01,5.062143260442631965e-01,4.580376785372096693e-01,4.026704866261184290e-01
5.586003932294700824e-01,3.905614659027403790e-01,5.069843404669933662e-01,5.276307615719840749e-01
5.983196157246190028e-01,7.744073507321809213e-01,1.912350670512231732e-01,7.573666021830620376e-02
6.253031533090117611e-01,7.411416871054653521e-01,2.271784837561517389e-01,8.997167673510959862e-02
6.296029426763029013e-01,7.461591836464412930e-01,2.012338519313499885e-01,7.969657502231683455e-02
6.163143654473386412e-01,7.596432876443941495e-01,1.930162818920347634e-01,7.644209183842960720e-02
5.199253337988605228e-01,4.329733306664050319e-01,4.919339355301933225e-01,5.479167320675276676e-01
5.318523198452567158e-01,4.397624576888634063e-01,5.411947696292386256e-01,4.804688460333561006e-01
6.182440599442193818e-01,7.566724437364434896e-01,1.956732041574296976e-01,8.326519325848072417e-02
5.824870414258990214e-01,5.421736727396433420e-01,4.286380629701884160e-01,4.278153411602648171e-01
6.443555196502481763e-01,7.229095698217776755e-01,2.144313261439046714e-01,1.273849462241017916e-01
7.079453034749209062e-01,6.494682748926339233e-01,2.339081143291478482e-01,1.493030516994560686e-01
5.993181301554486584e-01,4.832989274105794486e-01,4.874179523601014363e-01,4.119024949521983836e-01
5.578108942583313024e-01,4.263062533839578894e-01,5.859904601599827956e-01,4.046296642288413903e-01
5.686798880137815537e-01,4.055844655855866399e-01,5.619098893469508527e-01,4.431271854652843456e-01
5.741997652989191403e-01,4.901523903264089488e-01,5.065155960732693474e-01,4.165179644655371827e-01
6.066012124166119124e-01,5.066029199065164024e-01,4.669341757702802354e-01,3.966874413623620033e-01
5.928971170638701604e-01,7.752449714126503633e-01,2.004760036115244559e-01,8.530893770703168455e-02
5.351779690137004053e-01,5.147686396869067815e-01,4.928475081877580211e-01,4.535406517065257992e-01
5.615320213986989550e-01,4.481161136738244788e-01,5.356436076788906320e-01,4.438013780538564435e-01
5.838227813180195680e-01,7.811458298875206818e-01,2.090900193557558295e-01,7.241212791541327964e-02
5.997877305239764922e-01,7.628272289365896075e-01,2.282552977776582948e-01,7.904945377581239219e-02
5.515417085231795191e-01,4.474241410978853639e-01,4.889304686525634547e-01,5.065178955825117013e-01
5.771402169984083397e-01,5.180011577257319644e-01,4.645622487443978321e-01,4.275112718506728360e-01
5.664390466274221714e-01,4.918093962153771148e-01,4.865853206865339842e-01,4.477779024722705059e-01
6.200408053852652923e-01,7.678706976773925774e-01,1.461404078087886749e-01,6.757937933354389581e-02
5.515417085231795191e-01,4.474241410978853639e-01,4.889304686525634547e-01,5.065178955825117013e-01
6.221744471343304550e-01,7.517153274647305761e-01,2.051851900123855821e-01,7.564430968198546101e-02
5.855812839236413936e-01,4.778881742365349572e-01,4.871430508502706536e-01,4.375032581038700297e-01
6.213590257127364902e-01,7.215471476881234469e-01,2.369834423648576327e-01,1.926694653372826305e-01
6.213590257127364902e-01,7.215471476881234469e-01,2.369834423648576327e-01,1.926694653372826305e-01
6.467259264540233810e-01,7.387171142686043135e-01,1.746903364559718175e-01,7.433631338551992263e-02
5.993181301554486584e-01,4.832989274105794486e-01,4.874179523601014363e-01,4.119024949521983836e-01
5.757340702260176357e-01,4.623524785659410830e-01,4.915465410891943221e-01,4.616735468793538022e-01
6.229593247087948926e-01,7.456503428899999841e-01,2.125492286801158870e-01,1.036825505756662907e-01
6.127291536198832267e-01,5.027698585571728218e-01,4.709577354572692109e-01,3.872780203466530957e-01
5.493822289171612638e-01,3.327880031428389618e-01,5.640474629539643514e-01,5.189236659176471589e-01
6.342917825913176877e-01,7.441842798791751257e-01,1.947217934398877970e-01,7.711754195639121401e-02
6.332856565984894548e-01,4.147742945350206822e-01,5.061517732161076033e-01,4.131851209927409063e-01
5.855812839236413936e-01,4.778881742365349572e-01,4.871430508502706536e-01,4.375032581038700297e-01
5.480369407200642584e-01,5.105572107316099784e-01,4.705788320772588129e-01,4.664144176340972447e-01
5.939399229687746251e-01,4.930822002004922044e-01,4.769729805916692600e-01,4.202405115345103637e-01
5.262845129548182621e-01,4.226412185403670141e-01,4.673257526591723110e-01,5.709690470736235035e-01
5.997877305239764922e-01,7.628272289365896075e-01,2.282552977776582948e-01,7.904945377581239219e-02
5.997877305239764922e-01,7.628272289365896075e-01,2.282552977776582948e-01,7.904945377581239219e-02
5.824870414258990214e-01,5.421736727396433420e-01,4.286380629701884160e-01,4.278153411602648171e-01
5.666491832576523446e-01,8.017483124815719675e-01,1.868736668190130179e-01,3.444675886064756110e-02
5.003382296436590382e-01,4.490690036431359555e-01,4.743947658843581938e-01,5.682853966323041517e-01
6.097339033016448973e-01,7.448015401089713716e-01,2.228616007320885772e-01,1.543630134940873200e-01
6.093031686875557407e-01,5.365646508752428545e-01,4.099807367603087727e-01,4.156486732132163020e-01
5.141238612238205885e-01,4.293704726569509411e-01,5.176260673629473619e-01,5.323353331472800987e-01
5.589057560032090199e-01,4.298735613926814580e-01,4.978959683341008247e-01,5.049085876064121070e-01
6.133777272980190931e-01,7.678496917094687069e-01,1.792776813242371869e-01,4.510130347779552074e-02
6.426861293541640263e-01,7.264329309830375170e-01,2.314799236034031371e-01,7.527802393606605746e-02
5.757340702260176357e-01,4.623524785659410830e-01,4.915465410891943221e-01,4.616735468793538022e-01
5.904622271951317503e-01,4.208062045757024472e-01,5.260077557196279896e-01,4.445135963827842596e-01
5.795750650875869381e-01,5.112479076223375163e-01,4.774862533453906321e-01,4.180014339050557859e-01
4.727155476345212270e-01,4.096009377323644451e-01,4.759356807927945798e-01,6.182655663884746300e-01
5.586003932294700824e-01,3.905614659027403790e-01,5.069843404669933662e-01,5.276307615719840749e-01
5.796507046783663242e-01,7.945212245160365727e-01,1.682319573922844702e-01,6.662651777912256823e-02
6.176725784843620781e-01,7.471503354862387702e-01,2.303006005689116620e-01,8.490344721434531228e-02
6.221744471343304550e-01,7.517153274647305761e-01,2.051851900123855821e-01,7.564430968198546101e-02
5.349970488614049779e-01,4.719339252261875450e-01,4.920309646264217074e-01,4.989609782127092941e-01
5.757340702260176357e-01,4.623524785659410830e-01,4.915465410891943221e-01,4.616735468793538022e-01
5.078870921967648666e-01,4.207677734622833343e-01,5.190087073543583340e-01,5.437234077045658420e-01
